leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
3,220,2018-01-04 05:45:00,14892.50000000,94.57444444,99.10187801,99.68798022,14921.34478559,14912.34704109,15251.88288889,14803.14500000,0,7,2018-01-04 07:17:00
1,222,2018-01-04 05:45:00,14892.50000000,94.57444444,96.60987074,98.41423220,14932.38453904,14927.97179722,15251.88288889,14803.14500000,0,7,2018-01-04 07:17:00
2,222,2018-01-04 06:00:00,14891.80000000,94.28333333,96.60987074,98.41423220,14932.38453904,14927.97179722,15250.07666667,14802.44920000,0,6,2018-01-04 07:17:00
3,222,2018-01-04 06:15:00,15029.50000000,94.73111111,96.60987074,98.41423220,14932.38453904,14927.97179722,15389.47822222,14939.32300000,0,3,2018-01-04 06:51:00
0,287,2018-01-04 21:45:00,14999.80000000,100.25555556,100.85326986,102.27181302,14816.10760660,14814.38018383,15380.77111111,14909.80120000,0,1,2018-01-04 21:55:00
1,287,2018-01-04 22:00:00,14891.90000000,100.02111111,100.85326986,102.27181302,14816.10760660,14814.38018383,15271.98022222,14802.54860000,0,26,2018-01-05 04:29:00
0,288,2018-01-04 22:00:00,14891.90000000,100.02111111,100.42274318,100.85326986,14818.55550936,14816.10760660,15271.98022222,14802.54860000,0,26,2018-01-05 04:29:00
2,287,2018-01-04 22:15:00,14871.70000000,99.89111111,100.85326986,102.27181302,14816.10760660,14814.38018383,15251.28622222,14782.46980000,1,43,2018-01-05 08:55:00
1,288,2018-01-04 22:15:00,14871.70000000,99.89111111,100.42274318,100.85326986,14818.55550936,14816.10760660,15251.28622222,14782.46980000,1,43,2018-01-05 08:55:00
3,287,2018-01-04 22:30:00,14872.90000000,98.98777778,100.85326986,102.27181302,14816.10760660,14814.38018383,15249.05355556,14783.66260000,1,42,2018-01-05 08:55:00
2,288,2018-01-04 22:30:00,14872.90000000,98.98777778,100.42274318,100.85326986,14818.55550936,14816.10760660,15249.05355556,14783.66260000,1,42,2018-01-05 08:55:00
3,288,2018-01-04 22:45:00,14938.00000000,99.14111111,100.42274318,100.85326986,14818.55550936,14816.10760660,15314.73622222,14848.37200000,0,23,2018-01-05 04:28:00
0,325,2018-01-05 07:15:00,14864.90000000,90.65777778,99.47334609,99.83756467,14839.61580221,14839.13212789,15209.39955556,14775.71060000,1,7,2018-01-05 08:54:00
1,325,2018-01-05 07:30:00,14890.40000000,90.18777778,99.47334609,99.83756467,14839.61580221,14839.13212789,15233.11355556,14801.05760000,1,6,2018-01-05 08:55:00
2,325,2018-01-05 07:45:00,14899.90000000,87.57666667,99.47334609,99.83756467,14839.61580221,14839.13212789,15232.69133333,14810.50060000,1,5,2018-01-05 08:55:00
3,325,2018-01-05 08:00:00,14899.40000000,86.96111111,99.47334609,99.83756467,14839.61580221,14839.13212789,15229.85222222,14810.00360000,1,4,2018-01-05 08:55:00
0,347,2018-01-05 12:45:00,15823.70000000,94.91777778,101.05874164,102.66064745,14950.11504181,14942.50729590,16184.38755556,15728.75780000,0,1,2018-01-05 12:52:00
1,347,2018-01-05 13:00:00,15827.00000000,95.58111111,101.05874164,102.66064745,14950.11504181,14942.50729590,16190.20822222,15732.03800000,1,14,2018-01-05 16:19:00
0,348,2018-01-05 13:00:00,15827.00000000,95.58111111,100.34172970,101.05874164,14955.43807504,14950.11504181,16190.20822222,15732.03800000,1,14,2018-01-05 16:19:00
2,347,2018-01-05 13:15:00,15856.00000000,95.53555556,101.05874164,102.66064745,14950.11504181,14942.50729590,16219.03511111,15760.86400000,1,13,2018-01-05 16:27:00
1,348,2018-01-05 13:15:00,15856.00000000,95.53555556,100.34172970,101.05874164,14955.43807504,14950.11504181,16219.03511111,15760.86400000,1,13,2018-01-05 16:27:00
3,347,2018-01-05 13:30:00,15913.60000000,95.04000000,101.05874164,102.66064745,14950.11504181,14942.50729590,16274.75200000,15818.11840000,1,12,2018-01-05 16:29:00
2,348,2018-01-05 13:30:00,15913.60000000,95.04000000,100.34172970,101.05874164,14955.43807504,14950.11504181,16274.75200000,15818.11840000,1,12,2018-01-05 16:29:00
3,348,2018-01-05 13:45:00,15932.60000000,95.12555556,100.34172970,101.05874164,14955.43807504,14950.11504181,16294.07711111,15837.00440000,0,2,2018-01-05 14:03:00
0,384,2018-01-07 22:00:00,16140.00000000,104.48444444,101.72143121,102.27327881,15331.62567639,15314.50446142,16537.04088889,16043.16000000,0,9,2018-01-08 00:04:00
1,384,2018-01-07 22:15:00,16283.30000000,111.07888889,101.72143121,102.27327881,15331.62567639,15314.50446142,16705.39977778,16185.60020000,0,6,2018-01-07 23:35:00
2,384,2018-01-07 22:30:00,16308.30000000,110.43666667,101.72143121,102.27327881,15331.62567639,15314.50446142,16727.95933333,16210.45020000,0,5,2018-01-07 23:34:00
3,384,2018-01-07 22:45:00,16394.20000000,109.75555556,101.72143121,102.27327881,15331.62567639,15314.50446142,16811.27111111,16295.83480000,0,3,2018-01-07 23:20:00
0,393,2018-01-08 00:15:00,16007.70000000,111.21555556,97.83409828,98.46144450,15430.78291729,15419.75692020,16430.31911111,15911.65380000,0,3,2018-01-08 00:59:00
1,393,2018-01-08 00:30:00,16183.90000000,112.84111111,97.83409828,98.46144450,15430.78291729,15419.75692020,16612.69622222,16086.79660000,0,1,2018-01-08 00:40:00
2,393,2018-01-08 00:45:00,16087.90000000,113.44777778,97.83409828,98.46144450,15430.78291729,15419.75692020,16519.00155556,15991.37260000,0,1,2018-01-08 00:58:00
3,393,2018-01-08 01:00:00,15878.80000000,115.11555556,97.83409828,98.46144450,15430.78291729,15419.75692020,16316.23911111,15783.52720000,0,1,2018-01-08 01:08:00
0,396,2018-01-08 01:00:00,15878.80000000,115.11555556,95.09426737,96.17757479,15464.56117273,15454.11150313,16316.23911111,15783.52720000,0,1,2018-01-08 01:08:00
1,396,2018-01-08 01:15:00,15776.30000000,116.98111111,95.09426737,96.17757479,15464.56117273,15454.11150313,16220.82822222,15681.64220000,0,8,2018-01-08 03:13:00
0,397,2018-01-08 01:15:00,15776.30000000,116.98111111,93.57674626,95.09426737,15473.55865920,15464.56117273,16220.82822222,15681.64220000,0,8,2018-01-08 03:13:00
2,396,2018-01-08 01:30:00,15778.30000000,118.38222222,95.09426737,96.17757479,15464.56117273,15454.11150313,16228.15244444,15683.63020000,0,7,2018-01-08 03:13:00
1,397,2018-01-08 01:30:00,15778.30000000,118.38222222,93.57674626,95.09426737,15473.55865920,15464.56117273,16228.15244444,15683.63020000,0,7,2018-01-08 03:13:00
3,396,2018-01-08 01:45:00,15710.40000000,119.65777778,95.09426737,96.17757479,15464.56117273,15454.11150313,16165.09955556,15616.13760000,0,7,2018-01-08 03:20:00
2,397,2018-01-08 01:45:00,15710.40000000,119.65777778,93.57674626,95.09426737,15473.55865920,15464.56117273,16165.09955556,15616.13760000,0,7,2018-01-08 03:20:00
3,397,2018-01-08 02:00:00,15834.10000000,120.41555556,93.57674626,95.09426737,15473.55865920,15464.56117273,16291.67911111,15739.09540000,0,5,2018-01-08 03:11:00
0,405,2018-01-08 03:15:00,15661.40000000,123.70444444,96.76417564,97.94296199,15548.02608402,15538.49576775,16131.47688889,15567.43160000,0,1,2018-01-08 03:22:00
1,405,2018-01-08 03:30:00,15561.30000000,124.72888889,96.76417564,97.94296199,15548.02608402,15538.49576775,16035.26977778,15467.93220000,0,22,2018-01-08 08:49:00
