ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
37,2018-01-05 12:45:00,2,2018-01-05 13:15:00,2018-01-05 20:45:00,15856.0000,16545.1000,Friday,4.3460,7.2433,30
38,2018-01-05 13:00:00,2,2018-01-05 13:30:00,2018-01-05 20:45:00,15913.6000,16545.1000,Friday,3.9683,6.6138,29
39,2018-01-05 12:45:00,3,2018-01-05 13:30:00,2018-01-05 20:45:00,15913.6000,16545.1000,Friday,3.9683,6.6138,29
40,2018-01-05 13:00:00,3,2018-01-05 13:45:00,2018-01-05 14:00:00,15932.6000,15837.0044,Stop,-0.6000,-1.0000,1
41,2018-01-07 22:00:00,0,2018-01-07 22:00:00,2018-01-08 00:00:00,16140.0000,16043.1600,Stop,-0.6000,-1.0000,8
42,2018-01-07 22:00:00,1,2018-01-07 22:15:00,2018-01-07 23:30:00,16283.3000,16185.6002,Stop,-0.6000,-1.0000,5
43,2018-01-07 22:00:00,2,2018-01-07 22:30:00,2018-01-07 23:30:00,16308.3000,16210.4502,Stop,-0.6000,-1.0000,4
44,2018-01-07 22:00:00,3,2018-01-07 22:45:00,2018-01-07 23:15:00,16394.2000,16295.8348,Stop,-0.6000,-1.0000,2
45,2018-01-08 00:15:00,0,2018-01-08 00:15:00,2018-01-08 00:45:00,16007.7000,15911.6538,Stop,-0.6000,-1.0000,2
46,2018-01-08 00:15:00,1,2018-01-08 00:30:00,2018-01-08 00:30:00,16183.9000,16086.7966,Stop,-0.6000,-1.0000,0
47,2018-01-08 00:15:00,2,2018-01-08 00:45:00,2018-01-08 00:45:00,16087.9000,15991.3726,Stop,-0.6000,-1.0000,0
48,2018-01-08 01:00:00,0,2018-01-08 01:00:00,2018-01-08 01:00:00,15878.8000,15783.5272,Stop,-0.6000,-1.0000,0
