breakeven_R,atr14_pct,atr_ratio_14_90,vol20,vol200,vol_ratio_20_200,range_pct,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,ret20_atr,ret50_atr,pos_in_range50,dist_hh20_atr,mom14,mom_diff,vwap_dist_atr,vwap_slope_atr,rsi14,vol_ratio_volume,gap_open_atr,hour,dow,label,entry_time,label_end_time,origin_bar,entry_bar,entry_price,leg,entry_vs_base_R
4.04599916,0.00670084,1.04889742,0.00531255,0.00637740,0.83302761,0.00418892,-1.43623175,-0.93534559,3.03648269,-0.62513396,-2.28548975,0.34477700,-4.46695721,99.68798022,0.82019836,0.07954663,0.07723722,47.47376393,1.04943531,0.00100021,4,3,0,2018-01-04 04:45:00,2018-01-04 05:24:00,217,219,14920.40000000,2,-0.39560753
4.04082867,0.00649486,1.01798231,0.00500850,0.00637757,0.78533017,0.00387056,-1.46236595,-1.05597903,2.97238778,-1.91383253,-2.49015124,0.32585094,-4.74585024,99.10187801,-0.58610221,-0.14402582,0.09293133,42.16084484,0.67834480,-0.00309849,5,3,0,2018-01-04 05:00:00,2018-01-04 05:25:00,220,220,14907.10000000,0,0.00000000
4.04082867,0.00649486,1.01798231,0.00500850,0.00637757,0.78533017,0.00387056,-1.46236595,-1.05597903,2.97238778,-1.91383253,-2.49015124,0.32585094,-4.74585024,99.10187801,-0.58610221,-0.14402582,0.09293133,42.16084484,0.67834480,-0.00309849,5,3,0,2018-01-04 05:00:00,2018-01-04 05:25:00,217,220,14907.10000000,3,-0.54382106
3.99986202,0.00659774,1.04464381,0.00501404,0.00628821,0.79737268,0.00578353,-1.65250763,-1.36949683,2.52480465,-2.39941755,-2.20677102,0.27068662,-5.06690936,98.41423220,-0.68764581,-0.59294151,0.06754872,35.60788083,0.98029388,0.00509647,5,3,0,2018-01-04 05:15:00,2018-01-04 08:12:00,220,221,14870.30000000,1,-0.41143706
4.01643644,0.00606569,0.95638622,0.00503214,0.00629361,0.79956417,0.00641948,-2.35072451,-2.19909584,1.94781411,-2.68703748,-3.15715764,0.16637324,-6.32991167,96.60987074,-1.80436146,-1.48928427,0.04915921,12.63491150,1.17159254,0.01448237,5,3,0,2018-01-04 05:30:00,2018-01-04 08:24:00,222,222,14800.00000000,0,0.00000000
4.01643644,0.00606569,0.95638622,0.00503214,0.00629361,0.79956417,0.00641948,-2.35072451,-2.19909584,1.94781411,-2.68703748,-3.15715764,0.16637324,-6.32991167,96.60987074,-1.80436146,-1.48928427,0.04915921,12.63491150,1.17159254,0.01448237,5,3,0,2018-01-04 05:30:00,2018-01-04 08:24:00,220,222,14800.00000000,2,-1.19741600
4.02196731,0.00601089,0.94657102,0.00525780,0.00630677,0.83367647,0.00774179,-1.17753719,-1.10437204,2.97877397,-1.92914705,-1.51360409,0.30501761,-5.29147052,97.58354082,0.97367008,-0.50807135,0.07036007,24.85683120,1.03967580,-0.00781936,5,3,0,2018-01-04 05:45:00,2018-01-04 07:17:00,222,223,14892.50000000,1,1.04166667
4.02196731,0.00601089,0.94657102,0.00525780,0.00630677,0.83367647,0.00774179,-1.17753719,-1.10437204,2.97877397,-1.92914705,-1.51360409,0.30501761,-5.29147052,97.58354082,0.97367008,-0.50807135,0.07036007,24.85683120,1.03967580,-0.00781936,5,3,0,2018-01-04 05:45:00,2018-01-04 07:17:00,220,223,14892.50000000,3,-0.16323318
4.00977570,0.00596805,0.94267532,0.00525084,0.00630089,0.83334873,0.00398861,-1.08124054,-1.07738605,2.96155399,-2.07249056,-1.90709636,0.30384390,-5.33874468,97.29270651,-0.29083431,-0.58600190,0.06525463,19.94487961,0.85964626,-0.00675078,6,3,0,2018-01-04 06:00:00,2018-01-04 07:17:00,222,224,14891.80000000,2,1.03378378
3.99190727,0.00635041,1.00751333,0.00543809,0.00632903,0.85922945,0.01016009,0.38772480,0.41518116,4.15155648,0.65379434,0.19802425,0.50484155,-3.53614728,98.53470488,1.24199837,0.85615166,0.03356382,35.53398058,0.85397460,0.00104775,6,3,0,2018-01-04 06:15:00,2018-01-04 06:51:00,222,225,15029.50000000,3,2.58445946
