config,thread_count,train_predictions_exactly_equal_vs_tc1_a,train_max_abs_diff_vs_tc1_a,train_mean_abs_diff_vs_tc1_a,train_pearson_corr_vs_tc1_a,train_count_diff_gt_1e-12_vs_tc1_a,train_count_diff_gt_0_vs_tc1_a,holdout_predictions_exactly_equal_vs_tc1_a,holdout_max_abs_diff_vs_tc1_a,holdout_mean_abs_diff_vs_tc1_a,holdout_pearson_corr_vs_tc1_a,holdout_count_diff_gt_1e-12_vs_tc1_a,holdout_count_diff_gt_0_vs_tc1_a,roc_auc,f1_at_0_5,top50_trades,top50_net_profit_R,top50_max_dd_R,top50_profit_factor,top50_win_rate_pct,top50_overlap_count_vs_tc1_a,top50_overlap_pct_vs_tc1_a,top50_identical_selection_vs_tc1_a,fit_seconds
tc1_a,1,True,0,0,1,0,0,True,0,0,1,0,0,0.604554453893,0.402207234825,2514,-36.5527549958,263.246077697,0.971794851726,34.8050914877,2514,100,True,4.931
tc1_b,1,True,0,0,1,0,0,True,0,0,1,0,0,0.604554453893,0.402207234825,2514,-36.5527549958,263.246077697,0.971794851726,34.8050914877,2514,100,True,5.059
tc2,2,False,0.283158359679,0.037759258832,0.979532451337,25008,25008,False,0.346856345471,0.054282773277,0.933066836185,5028,5028,0.604177301044,0.406892382104,2514,-12.2605043256,249.568814431,0.990501109903,35.3221957041,2252,89.5783611774,False,2.839
tc_default,-1,False,0.29985258535,0.0368225685901,0.980583989832,25008,25008,False,0.335194117819,0.0508108072268,0.94094770306,5028,5028,0.602315255872,0.406469331706,2514,30.7859222571,265.541717904,1.02386442381,35.2028639618,2254,89.6579156722,False,3.279
