method,folds,mean_roc_auc,mean_f1
random_kfold,5,0.862541365866,0.658923291281
grouped_kfold,5,0.738118934072,0.502741076702
walk_forward,4,0.58822268912,0.325598656948
purged_walk_forward,4,0.590595119333,0.322499367368
